gå_sakte	gå_sakte+?	inf
bevege_seg_besværlig	bevege_seg_besværlig+?	inf
mon_tro	mon_tro+?	inf
sende_noen_bort_for_å_hente_noe	sende_noen_bort_for_å_hente_noe+?	inf
mørkne	mørkne+?	inf
sette_fast	sette_fast+?	inf
beslå	beslå+?	inf
forsterke_med_jern	forsterke_med_jern+?	inf
drive_reklame	drive_reklame+?	inf
rive_gjentatte_ganger	rive_gjentatte_ganger+?	inf
smalne	smalne+?	inf
klistre_seg	klistre_seg+?	inf
bli_teknisk	bli_teknisk+?	inf
sette_opp_veistikker	sette_opp_veistikker+?	inf
smugkikke	smugkikke+?	inf
ruste	ruste+?	inf
slå_med_badstuekvist	slå_med_badstuekvist+?	inf
sjokkere	sjokkere+?	inf
overgå	overgå+?	inf
gå_rundt_med_vingene,_armene_utslått	gå_rundt_med_vingene,_armene_utslått+?	inf
fremheve	fremheve+?	inf
bli_blandet	bli_blandet+?	inf
renne_av_seg	renne_av_seg+?	inf
bestemme_seg	bestemme_seg+?	inf
bli_klemt	bli_klemt+?	inf
si_opp	si_opp+?	inf
skitne	skitne+?	inf
grise	grise+?	inf
sammensmelte	sammensmelte+?	inf
blokkere	blokkere+?	inf
arbeide_iherdig	arbeide_iherdig+?	inf
arbeide_hardt	arbeide_hardt+?	inf
bli_brukket	bli_brukket+?	inf
fryse_til	fryse_til+?	inf
bli_lammet	bli_lammet+?	inf
bli_involvert	bli_involvert+?	inf
drive_på_og_gnage	drive_på_og_gnage+?	inf
bli_rettere	bli_rettere+?	inf
bli_rakere	bli_rakere+?	inf
forstenes	forstenes+?	inf
assimileres	assimileres+?	inf
vike	vike+?	inf
dukke_unna	dukke_unna+?	inf
